id,fare_amount
0,9.120000000000001
1,9.120000000000001
2,5.9
3,8.42
4,13.189999999999998
5,7.460000000000001
6,5.589999999999999
7,55.291
8,11.559999999999999
9,6.859999999999999
10,9.39
11,14.26
12,5.5
13,6.93
14,8.16
15,12.23
16,5.470000000000001
17,9.2
18,4.65
19,7.960000000000001
20,6.8420000000000005
21,8.49
22,7.25
23,9.190000000000001
24,17.18
25,7.169999999999999
26,22.53
27,21.28
28,6.709999999999999
29,11.8
30,9.75
31,6.44
32,5.3100000000000005
33,9.559999999999999
34,9.000000000000002
35,5.65
36,6.49
37,5.78
38,8.59
39,4.8999999999999995
40,17.31
41,9.36
42,17.48
43,8.39
44,6.0200000000000005
45,11.66
46,6.39
47,7.909999999999999
48,5.65
49,5.459999999999999
50,10.059999999999999
51,14.86
52,19.6
53,5.220000000000001
54,7.3100000000000005
55,12.829999999999998
56,8.98
57,11.43
58,10.65
59,14.02
60,11.809999999999999
61,8.729999999999999
62,4.99
63,5.17
64,7.26
65,7.67
66,9.650000000000002
67,4.5600000000000005
68,5.869999999999999
69,12.99
70,5.55
71,8.64
72,9.8
73,6.34
74,11.450000000000001
75,11.95
76,46.53
77,5.160000000000001
78,5.26
79,5.16
80,6.859999999999999
81,9.810000000000002
82,6.390000000000001
83,9.59
84,17.72
85,5.220000000000001
86,5.68
87,6.65
88,13.25
89,8.56
90,8.78
91,8.690000000000001
92,5.680000000000001
93,6.92
94,12.64
95,14.210000000000003
96,11.17
97,10.77
98,8.65
99,11.16
100,13.85
101,9.31
102,48.231
103,7.12
104,4.39
105,5.31
106,10.45
107,8.51
108,9.8
109,34.727
110,23.800000000000004
111,16.85
112,8.99
113,10.61
114,7.080000000000001
115,5.52
116,22.809999999999995
117,8.390000000000002
118,7.390000000000001
119,10.349999999999998
120,9.749999999999998
121,5.3100000000000005
122,9.350000000000001
123,6.45
124,6.609999999999999
125,5.819999999999999
126,8.540000000000001
127,9.49
128,7.51
129,15.939999999999998
130,5.3100000000000005
131,5.0600000000000005
132,5.790000000000001
133,5.050000000000001
134,6.85
135,5.819999999999999
136,11.4
137,6.04
138,16.3
139,8.19
140,4.97
141,10.150000000000002
142,7.15
143,5.51
144,8.22
145,7.260000000000001
146,10.8
147,8.3
148,8.430000000000001
149,6.980000000000001
150,9.23
151,13.030000000000001
152,8.16
153,5.58
154,10.59
155,7.62
156,8.41
157,16.97
158,10.370000000000001
159,7.360000000000001
160,12.03
161,6.93
162,33.351
163,19.06
164,5.16
165,9.91
166,4.5
167,19.573
168,5.4399999999999995
169,9.9
170,8.8
171,8.52
172,22.259999999999998
173,8.209999999999999
174,6.14
175,9.37
176,6.050000000000001
177,7.4799999999999995
178,24.62
179,8.120000000000001
180,19.06
181,6.65
182,16.28
183,8.690000000000001
184,10.52
185,8.55
186,6.869999999999999
187,10.18
188,50.107000000000006
189,8.559999999999999
190,8.67
191,8.27
192,5.680000000000001
193,5.46
194,7.039999999999999
195,10.66
196,5.549999999999999
197,10.17
198,6.4300000000000015
199,8.379999999999999
200,9.41
201,9.1
202,5.04
203,6.87
204,6.15
205,5.19
206,9.67
207,9.0
208,11.52
209,20.74
210,4.91
211,14.029999999999998
212,13.169999999999998
213,6.980000000000001
214,13.41
215,6.4799999999999995
